Destination,Prefix,Rate(EUR),Connection Fee(EUR),Increment,Minimal Time,Start Time,End Time,Week Day,Effective from,Blocked
Bahamas,1242,0.25,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Bahrain,973,0.25,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Bangladesh,880,0.05,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Barbados,1246,0.52,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belarus,375,0.6,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium,32,0.2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium-Mobile,3246,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium-Mobile,3277,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium-Mobile-Base,3248,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium-Mobile-Base,32770002,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium-Mobile-Mobistar,3249,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium-Mobile-Mobistar,32770005,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium-Mobile-Proximus,32460,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium-Mobile-Proximus,3247,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium-Mobile-Proximus,32770001,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belgium-Non Geo,3270,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Belize,501,0.38,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Benin,229,0.75,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Bermuda,1441,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Bhutan,975,0.15,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Bolivia,591,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Bosnia and Herzegovina,387,0.55,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Botswana,267,0.36,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Brazil,55,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Brunei,673,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Bulgaria,359,0.93,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Burkina Faso,226,0.67,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Burundi,257,0.9,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Cambodia,855,0.13,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Cameroon,237,0.75,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1204,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1226,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1236,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1249,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1250,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1289,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1306,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
CANADA,1343,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
CANADA,1365,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1403,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1416,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1418,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1431,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
CANADA,1437,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1438,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1450,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1506,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1514,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
CANADA,1519,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1579,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1581,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1587,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1600,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1604,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1613,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1639,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1647,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
CANADA,1705,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1709,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1778,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1780,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
CANADA,1807,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1819,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1873,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1902,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada,1905,0.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Canada-North West Territory,1867,0.16,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Cape Verde Island,238,0.51,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Cayman Islands,1345,0.49,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Central African Republic,236,2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Chad,235,2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Chile,56,0.92,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
China,86,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Colombia,57,0.3,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Comoros,269,0.95,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Congo,242,1.2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Cook Islands,682,2.25,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Costa Rica,506,0.39,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Cote DIvoire,225,1.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Croatia,385,0.72,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Cuba,53,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Cyprus South,357,0.2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Czech Republic,420,0.15,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Czech Republic-Premium,4208,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Dem Rep Congo,243,0.65,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Denmark,45,0.37,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Diego Garcia,246,2.14,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Djibouti,253,0.57,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Dominica,1767,0.39,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Dominican Rep.,1809,0.13,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
East Timor,670,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ecuador,593,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Egypt,20,0.2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
El Salvador,503,0.25,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Equatorial Guinea,240,0.85,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Eritrea,291,0.4,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Estonia,372,1.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ethiopia,251,0.3,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Faeroe Islands,298,0.2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Falkland Islands,500,2.71,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Fiji,679,1.85,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Finland,358,0.65,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
France,33,0.16,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
French Guiana,594,0.16,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
French Polynesia,689,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Gabon,241,1.22,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Gambia,220,0.96,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Georgia,995,0.36,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany,49,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49115,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49116,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49118,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,491191,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49137,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49138,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49164,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,491672,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49168,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49169,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,4918,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49700,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49701,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Germany-Premium,49900,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ghana,233,1.23,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Gibraltar,350,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Greece,30,0.71,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Greenland,299,0.76,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Grenada,1473,0.33,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Guadeloupe,590,0.16,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Guam,1671,0.05,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Guatemala,502,0.21,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Guinea,224,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Guyana,592,0.44,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Haiti,509,8.5,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Honduras,504,0.28,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Hong Kong,852,0.06,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Hungary,36,0.12,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Hungary-Premium,369,0.9,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Iceland,354,0.05,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
India,91,0.05,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Indonesia,62,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Inmarsat HSD,870,9,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Intl Networks 882,882,9,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Intl Networks 883,883,9,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Iran,98,0.25,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Iraq,964,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 112 Emergency Services,353112,0,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1512 Premium Rate Service,3530001512,0.6,0.6,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1513 Premium Rate Service,3530001513,1.4,1.4,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1514 Premium Rate Service,3530001514,1.8,1.8,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1515 Premium Rate Service,3530001515,2.35,2.35,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1516 Premium Rate Service,3530001516,3.5,3.5,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1517 Premium Rate Service,3530001517,4.7,4.7,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1518 Premium Rate Service,3530001518,6.95,6.95,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1520 Premium Rate Service,3530001520,0.37,0.37,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1530 Premium Rate Service,3530001530,0.8,0.8,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1540 Premium Rate Service,3530001540,1.85,1.85,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1550 Premium Rate Service,3530001550,2.3,2.3,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1560 Premium Rate Service,3530001560,3,3,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1570 Premium Rate Service,3530001570,4.1,4.1,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1580 Premium Rate Service,3530001580,5.6,5.6,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1590 Premium Rate Service,3530001590,6.9,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1598 Premium Rate,3530001598,4.8,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1599 Premium Rate Service,3530001599,7.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1850,3530001850,0.015,0.8,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 1890,3530001890,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - 999 Emergency,353999,0,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - Conduit,35300011888,1.6,1.6,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
"'""Ireland - Conduit Dir Enquiries Int''l""'",35300011860,3.5,3.5,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - Conduit Dir Enquiries Ireland,35300011850,3,3,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - Eircom,3530001901,0,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
"'""Ireland - EirCom Dir Enquiries - Int''l""'",35300011818,2.6,2.6,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - EirCom Dir Enquiries - Ireland,35300011811,3.24,3.24,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - Eircom Repairs,3530001902,0,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - Freephone Number,3530001800,0,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - International Freephone 00800 new,35300800,0,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - Meteor Customer Services,3530001905,0,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - O2 Customer Care,3530001909,0,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - Virgin Customer Care,3530001908,0,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland - Vodafone Customer Care,3530001907,0,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland-Fixed,353,0.015,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland-Mobile-H3G,35383,0.07,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland-Mobile-Meteor,35385,0.07,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland-Mobile-O2,35386,0.07,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland-Mobile-Tesco,35389,0.07,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland-Mobile-Vodafone,35387,0.07,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland-Special,353818,0.07,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ireland-VoiP,35376,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Israel,972,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Italy,39,0.42,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Jamaica,1876,0.41,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Japan,81,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Jordan,962,0.29,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Kazakhstan,77,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Kenya,254,0.3,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Kiribati,686,1.9,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Korea North,850,0.9,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Korea South,82,0.25,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Kuwait,965,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Kyrgyzstan,996,0.38,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Laos,856,0.15,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Latvia,371,0.84,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Lebanon,961,0.27,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Lesotho,266,2.3,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Liberia,231,0.81,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Libya,218,0.46,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Liechtenstein,423,0.25,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Lithuania,370,1.7,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Luxembourg,352,0.3,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Macao,853,0.2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Macedonia,389,0.56,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Madagascar,261,1.51,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Malawi,265,0.6,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Malaysia,60,0.05,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Maldives,960,0.85,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Mali,223,0.72,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Malta,356,0.45,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Marshall Islands,692,0.43,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Martinique,596,0.5,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Mauritania,222,0.99,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Mauritius,230,0.28,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Mayotte,262269,0.8,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Mayotte-Mobile,262639,0.8,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Mexico,52,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Micronesia,691,0.92,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Moldova,373,0.63,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Moldova-Premium,37390,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Monaco,377,0.88,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Mongolia,976,0.05,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Montenegro,382,0.73,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Montserrat,1664,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Morocco,212,0.75,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Mozambique,258,0.52,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Myanmar,95,0.4,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Namibia,264,0.2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Nauru,674,8.5,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Nepal,977,0.31,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands,31,0.37,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3166,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3167,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3184,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3187,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3190,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3191,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3192,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3193,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3194,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3195,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3196,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Netherlands-Premium,3198,1.02,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
New Caledonia,687,0.42,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
New Zealand,64,0.07,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Nicaragua,505,0.42,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Niger,227,0.69,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Nigeria,234,0.2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Niue,683,8,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Northern Marianas,1670,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Norway,47,0.25,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Oman,968,0.25,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Pakistan,92,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Palau,680,0.38,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Palestine,970,0.3,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Panama,507,0.25,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Papua New Guinea,675,8.5,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Paraguay,595,0.15,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Peru,51,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Philippines,63,0.33,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Poland,48,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal,351,0.1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile,351169,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile,351189,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile,351609,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile,351639,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile,351659,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile,351669,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile,3519,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile-Optimus,3511693,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile-Optimus,3511893,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile-Optimus,3516093,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile-Optimus,3516693,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile-Optimus,35193,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile-Vodafone,3511691,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Portugal-Mobile-Vodafone,3511891,1,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
